Customer_ID,Recency,Frequency,Monetary,First_purchase,Last_purchase,Total_items,Tenure,AOV,Cancelled_orders,Return_Rate,R_Score,F_Score,M_Score,Segment,Lifespan_years,CLV
12346,326,12,77556.46,14-12-2009 08:34,18-01-2011 10:01,74285,726,6463.038333,5,0.294117647,2,5,5,At_Risk,1.989041096,154262.9862
12347,2,8,5633.32,31-10-2010 14:20,07-12-2011 15:52,3286,404,704.165,0,0,5,4,5,Champions,1.106849315,6235.236384
12348,75,5,2019.4,27-09-2010 14:59,25-09-2011 13:13,2714,438,403.88,0,0,3,4,4,Loyal_customers,1.2,2423.28
12349,19,4,4428.69,29-04-2010 13:20,21-11-2011 09:51,1624,589,1107.1725,1,0.2,5,3,5,Loyal_customers,1.61369863,7146.570986
12350,310,1,334.4,02-02-2011 16:01,02-02-2011 16:01,197,310,334.4,0,0,2,1,2,lost,0.849315068,284.0109589
12351,375,1,300.93,29-11-2010 15:23,29-11-2010 15:23,261,375,300.93,0,0,2,1,2,lost,1.02739726,309.1746575
12352,36,10,2849.84,12-11-2010 10:20,03-11-2011 14:37,724,393,284.984,3,0.230769231,4,5,4,Champions,1.076712329,3068.457863
12353,204,2,406.76,27-10-2010 12:44,19-05-2011 17:47,212,409,203.38,0,0,2,2,2,lost,1.120547945,455.7940822
12354,232,1,1079.4,21-04-2011 13:11,21-04-2011 13:11,530,232,1079.4,0,0,2,1,3,Needs_Attention,0.635616438,686.0843836
12355,214,2,947.61,21-05-2010 11:59,09-05-2011 13:49,543,568,473.805,0,0,2,2,3,Needs_Attention,1.556164384,1474.636932
12356,23,6,6373.68,11-10-2010 09:42,17-11-2011 08:40,3417,425,1062.28,0,0,4,4,5,Champions,1.164383562,7421.408219
12357,33,3,18287.66,16-11-2010 10:05,06-11-2011 16:07,6587,389,6095.886667,0,0,4,3,5,Loyal_customers,1.065753425,19490.13627
12358,2,5,3887.07,08-12-2009 07:59,08-12-2011 10:26,1079,732,777.414,0,0,5,4,5,Champions,2.005479452,7795.439014
12359,58,10,8935.94,05-12-2009 13:32,13-10-2011 12:47,2752,734,893.594,4,0.285714286,4,5,5,Champions,2.010958904,17969.80811
12360,52,8,4252.89,22-02-2010 09:32,18-10-2011 15:22,2459,656,531.61125,1,0.111111111,4,4,5,Champions,1.797260274,7643.550247
12361,287,4,511.25,26-01-2010 14:37,25-02-2011 13:51,235,682,127.8125,0,0,2,3,2,At_Risk,1.868493151,955.2671233
12362,3,11,5356.23,01-12-2009 10:10,06-12-2011 15:40,2230,739,486.93,3,0.214285714,5,5,5,Champions,2.024657534,10844.53142
12363,110,2,552,11-04-2011 13:29,22-08-2011 10:18,408,242,276,0,0,3,2,2,Needs_Attention,0.663013699,365.9835616
12364,8,4,1313.1,19-08-2011 15:24,02-12-2011 10:22,1506,112,328.275,0,0,5,3,4,Loyal_customers,0.306849315,402.9238356
12365,291,2,641.38,21-02-2011 13:51,21-02-2011 14:04,174,291,320.69,1,0.333333333,2,2,3,Needs_Attention,0.797260274,511.3467945
